Tabelle: 99911-0001
International indicators - Area and population:;;;;;;;;;;;;
states, years;;;;;;;;;;;;
International indicators;;;;;;;;;;;;;;;;;;;;;;
;;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;;2024;
Germany;Land area;1000 ha;34886;e;34936;e;34937;e;34938;e;34939;e;34939;e;34939;e;34936;e;34943;e;-;
;Population;1000;81686.6;e;82348.7;e;82657.0;e;82905.8;e;83093.0;e;83160.9;e;83196.1;e;83798.0;e;83901.9;e;83511.0;e
;Population under 15 years;percent;13.2;e;13.3;e;13.5;e;13.6;e;13.7;e;13.8;e;13.9;e;13.9;e;13.9;e;13.9;e
;Population 15 to 64 years;percent;65.7;e;65.5;e;65.2;e;65.0;e;64.7;e;64.4;e;64.0;e;63.6;e;63.3;e;62.9;e
;Population 65 years or older;percent;21.1;e;21.1;e;21.3;e;21.4;e;21.6;e;21.8;e;22.1;e;22.5;e;22.8;e;23.2;e
;Population density;inh./sq km;234;e;236;e;237;e;237;e;238;e;238;e;238;e;240;e;...;;...;
;Population change rate on previous year;percent;0.87;e;0.81;e;0.37;e;0.30;e;0.23;e;0.08;e;0.04;e;0.72;e;0.12;e;-0.47;e
;Women's life expectancy at birth;years;83.1;e;83.5;e;83.4;e;83.3;e;83.7;e;83.5;e;83.3;e;83.0;e;83.0;e;...;
;Men's life expectancy at birth;years;78.3;e;78.6;e;78.7;e;78.6;e;79.0;e;78.7;e;78.4;e;78.3;e;78.2;e;...;
;Fertility rate (total);number;1.50;e;1.60;e;1.57;e;1.57;e;1.54;e;1.53;e;1.58;e;1.46;e;1.39;e;...;
__________
"Source:
- United Nations: Food and Agriculture Organization:
Land area

- World Development Indicators, Worldbank:
Population
Population under 15 years
Population 15 to 64 years
Population 65 years or older
Population density
Population change rate on previous year
Women's life expectancy at birth
Men's life expectancy at birth
Fertility rate (total)"
© Statistisches Bundesamt (Destatis), 2025
created: 2025-11-09 / 16:47:36
