Tabelle: 99911-0002
International indicators - Labour market: states, years;;;;;;;;;;;;
International indicators;;;;;;;;;;;;;;;;;;;;;;
;;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;;2024;
Germany;Labour force (15 years and older);1000;42898;e;43333;e;43627;e;43856;e;44229;e;43617;e;43544;e;44105;e;44482;e;44318;e
;Labour force participation rate;percent;60.2;e;60.4;e;60.7;e;60.9;e;61.3;e;60.5;e;60.4;e;60.9;e;61.1;e;60.9;e
;Rate of self-employed persons;percent;10.7;e;10.5;e;10.3;e;9.9;e;9.6;e;8.9;e;8.8;e;8.8;e;8.6;e;...;
;Unemployment rate;percent;4.6;e;4.1;e;3.8;e;3.4;e;3.2;e;3.9;e;3.6;e;3.1;e;3.1;e;3.4;e
;Long-term unemployment rate;percent;44.0;e;41.2;e;41.6;e;41.1;e;38.1;e;28.4;e;32.6;e;33.5;e;30.9;e;27.2;e
;Youth unemployment rate;percent;7.3;e;7.1;e;6.8;e;6.2;e;5.9;e;7.9;e;6.7;e;6.0;e;5.9;e;6.7;e
;Hourly compensation costs in manufacturing;US-$;.;;.;;.;;.;;.;;.;;.;;...;;...;;...;
__________
"Source:
- Key Indicators on the Labour Market, International Labour
  Organization (ILO):
Labour force (15 years and older)
Labour force participation rate
Rate of self-employed persons
Unemployment rate
Long-term unemployment rate
Youth unemployment rate

- US Bureau of Labor Statistics (BLS):
Hourly compensation costs in manufacturing"
© Statistisches Bundesamt (Destatis), 2025
created: 2025-11-09 / 16:51:11
