Tabelle: 99911-0004
International indicators - Research and development, IT:;;;;;;;;;;;;
states, years;;;;;;;;;;;;
International indicators;;;;;;;;;;;;;;;;;;;;;;
;;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;;2024;
Germany;Research a. development expenditure (share of GDP);percent;2.9;e;2.9;e;3.0;e;3.1;e;3.2;e;3.1;e;3.1;e;3.1;e;...;;...;
;Fixed telephone lines per 100 inhabitants;number;55.3;e;54.7;e;53.4;e;51.0;e;45.8;e;45.9;e;46.0;e;45.9;e;45.8;e;45.4;e
;Mobile cellular subscriptions per 100 inhabitants;number;117.4;e;125.0;e;132.0;e;128.9;e;128.3;e;128.4;e;127.1;e;124.2;e;124.7;e;129.2;e
;Internet users per 100 inhabitants;number;87.6;e;84.2;e;84.4;e;87.0;e;88.1;e;89.8;e;91.4;e;91.6;e;92.5;e;93.5;e
;Fixed broadband Internet subscr. per 100 inhab.;number;37.4;e;38.5;e;40.0;e;41.0;e;42.1;e;43.3;e;44.1;e;44.6;e;45.4;e;45.6;e
;Researchers per 1,000,000 inhabitants;number;4755;e;4840;e;5058;e;5209;e;5399;e;5390;e;5521;e;5787;e;...;;...;
;Resident patent applications per 1,000,000 inhab.;number;884;e;893;e;887;e;884;e;884;e;820;e;790;e;738;e;751;e;...;
__________
"Source:
- Institute for Statistics, United Nations Educational,
  Scientific and Cultural Organization (UNESCO):
Research and development expenditure (share of GDP)
Researchers per 1,000,000 inhabitants

- International Telecommunication Union (ITU):
Fixed telephone lines per 100 inhabitants
Mobile cellular subscriptions per 100 inhabitants
Internet users per 100 inhabitants
Fixed broadband Internet subscribers per 100 inhabitants

- World Intellectual Property Organization (WIPO):
Resident patent applications per 1,000,000 inhabitants"
© Statistisches Bundesamt (Destatis), 2025
created: 2025-11-09 / 16:54:59
