Tabelle: 99911-0012
International indicators - Economy and finance:;;;;;;;;;;;;
states, years;;;;;;;;;;;;
International indicators;;;;;;;;;;;;;;;;;;;;;;
;;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;;2024;
Germany;Gross domestic product (GDP), current prices;US-$ bn;3423.9;e;3536.8;e;3761.8;e;4053.8;e;3957.6;e;3937.0;e;4351.2;e;4166.9;e;4527.0;e;4658.5;e
;GDP per capita, current prices;US-$;41915;e;42949;e;45511;e;48897;e;47629;e;47342;e;52301;e;49725;e;53565;e;54990;e
;GDP, constant prices (annual change);percent;1.7;e;2.3;e;2.7;e;1.1;e;1.0;e;-4.1;e;3.7;e;1.4;e;-0.3;e;-0.2;e
;Inflation (annual change of CPI);percent;0.7;e;0.4;e;1.7;e;1.9;e;1.4;e;0.4;e;3.2;e;8.7;e;6.0;e;2.5;e
;Gross value added: Agriculture (share of GDP);percent;0.7;e;0.7;e;0.9;e;0.7;e;0.8;e;0.7;e;0.7;e;1.0;e;0.8;e;0.8;e
;Gross value added: Industry (share of GDP);percent;25.9;e;26.2;e;26.1;e;25.9;e;25.6;e;25.4;e;25.3;e;25.7;e;27.3;e;25.8;e
;Gross value added: Services (share of GDP);percent;62.6;e;62.3;e;62.3;e;62.7;e;62.9;e;63.7;e;63.4;e;63.4;e;63.2;e;63.9;e
__________
"Source:
- International Monetary Fund: World Economic Outlook
  (IMF-WEO):
Gross domestic product (GDP), current prices
GDP per capita, current prices
GDP, constant prices (annual change)
Inflation (annual change of CPI)

- World Development Indicators, Worldbank:
Gross value added: Agriculture (share of GDP)
Gross value added: Industry (share of GDP)
Gross value added: Services (share of GDP)"
© Statistisches Bundesamt (Destatis), 2025
created: 2025-11-09 / 17:08:53
